trial,code_distance,qubit_layout,n_trotter_steps,placement,n_aods,consider_skip_rus,trivial_return,decompose_move,parallel_execution,prepare_lookahead_angles,logical_se_interval,total_depth,fidelity,fidelity_of_rz_layer,fidelity_of_rz_injection,fidelity_of_rz_teleportaion,fidelity_of_rz_s,fidelity_cnot,fidelity_1q,fidelity_idle,n_cnot,n_cnot_teleportation,n_h,n_s,n_se_q
2,13,"(8, 8)",1,col_based,2,2,False,True,False,True,10,466.0,0.9998821045454371,0.9998834629129425,0.999884679898974,0.9999987828736093,1,0.9999989784118476,0.999999965947041,0.9999996971149329,512,610,128,0,2277
3,13,"(8, 8)",1,col_based,2,2,False,True,False,True,10,575.5,0.9995068473963232,0.999508291275244,0.9995094998273969,0.9999987908547612,1,0.9999989784118476,0.999999965947041,0.9999996110514281,512,606,128,0,2924
4,13,"(8, 8)",1,col_based,2,2,False,True,False,True,10,506.5,0.9998371294531148,0.9998385191470226,0.9998397280984694,0.9999987908547612,1,0.9999989784118476,0.999999965947041,0.9999996657223708,512,606,128,0,2513
0,13,"(8, 8)",1,col_based,3,2,False,True,False,True,10,597.5,0.9995542128027101,0.9995556693812799,0.9995569039180011,0.9999987649160179,1,0.9999989784118476,0.999999965947041,0.9999995984145926,512,619,128,0,3019
1,13,"(8, 8)",1,col_based,3,2,False,True,False,True,10,525.0,0.9993657225916496,0.9993671305071361,0.9993684535187515,0.9999986771233534,0.9999999990289586,0.9999989784118476,0.999999965947041,0.9999996468336263,512,663,128,1,2655
2,13,"(8, 8)",1,col_based,3,2,False,True,False,True,10,433.0,0.9998821308801682,0.9998834629129425,0.999884679898974,0.9999987828736093,1,0.9999989784118476,0.999999965947041,0.9999997234527611,512,610,128,0,2079
3,13,"(8, 8)",1,col_based,3,2,False,True,False,True,10,538.0,0.9995068810336287,0.999508291275244,0.9995094998273969,0.9999987908547612,1,0.9999989784118476,0.999999965947041,0.999999644705317,512,606,128,0,2671
4,13,"(8, 8)",1,col_based,3,2,False,True,False,True,10,462.0,0.9998371616385607,0.9998385191470226,0.9998397280984694,0.9999987908547612,1,0.9999989784118476,0.999999965947041,0.9999996979130489,512,606,128,0,2271
0,13,"(8, 8)",1,col_based,4,2,False,True,False,True,10,584.0,0.9995542175892728,0.9995556693812799,0.9995569039180011,0.9999987649160179,1,0.9999989784118476,0.999999965947041,0.9999996032032882,512,619,128,0,2983
1,13,"(8, 8)",1,col_based,4,2,False,True,False,True,10,513.5,0.9993657348216698,0.9993671305071361,0.9993684535187515,0.9999986771233534,0.9999999990289586,0.9999989784118476,0.999999965947041,0.9999996590714043,512,663,128,1,2563
2,13,"(8, 8)",1,col_based,4,2,False,True,False,True,10,421.5,0.9998821411214528,0.9998834629129425,0.999884679898974,0.9999987828736093,1,0.9999989784118476,0.999999965947041,0.9999997336952501,512,610,128,0,2002
