method,n_qubit,qubit_layout,placement,n_aods,skip_rus,trivial_return,decompose_move,parallel_execution,mean_fidelity,std_fidelity,n_samples,infidelity,code_distance,fidelity_target,factory_physical_size
star,36,"(6, 6)",checkerboard,5,0,True,False,False,0.9987647006685789,0.0009592656768270181,10,0.0012352993314210803,,,
star,36,"(6, 6)",checkerboard,1,0,False,False,False,0.9987832081197743,0.0009702446888292555,10,0.0012167918802257205,,,
star,36,"(6, 6)",checkerboard,2,0,False,False,False,0.9987832081197743,0.0009702446888292555,10,0.0012167918802257205,,,
star,36,"(6, 6)",checkerboard,3,0,False,False,False,0.9987832081197743,0.0009702446888292555,10,0.0012167918802257205,,,
star,36,"(6, 6)",checkerboard,4,0,False,False,False,0.9987832081197743,0.0009702446888292555,10,0.0012167918802257205,,,
star,36,"(6, 6)",checkerboard,5,0,False,False,False,0.9987832081197743,0.0009702446888292555,10,0.0012167918802257205,,,
star,36,"(6, 6)",col_based,2,2,False,False,False,0.9988220198352412,0.0008794678653055084,10,0.001177980164758785,,,
star,36,"(6, 6)",col_based,2,2,False,True,False,0.9988220198352412,0.0008794678653055084,10,0.001177980164758785,,,
star,36,"(6, 6)",col_based,4,2,False,False,False,0.9988229803853444,0.0009554744580309846,10,0.00117701961465555,,,
star,36,"(6, 6)",col_based,4,2,False,True,False,0.9988229803853444,0.0009554744580309846,10,0.00117701961465555,,,
star,36,"(6, 6)",col_based,5,2,False,False,False,0.9988229803853444,0.0009554744580309846,10,0.00117701961465555,,,
star,36,"(6, 6)",col_based,5,2,False,True,False,0.9988229803853444,0.0009554744580309846,10,0.00117701961465555,,,
star,36,"(6, 6)",col_based,3,2,False,False,False,0.9988558597530505,0.0009109132722503342,10,0.001144140246949532,,,
star,36,"(6, 6)",col_based,3,2,False,True,False,0.9988558597530505,0.0009109132722503342,10,0.001144140246949532,,,
t_cultivation,36,"(6, 6)",col_based,2,N/A,N/A,N/A,N/A,0.9724257534636906,5.1047904380883625e-05,5,0.027574246536309355,7.0,1e-08,2.0
t_cultivation,36,"(6, 6)",col_based,3,N/A,N/A,N/A,N/A,0.9724257534636906,5.1047904380883625e-05,5,0.027574246536309355,7.0,1e-08,2.0
t_cultivation,36,"(6, 6)",col_based,4,N/A,N/A,N/A,N/A,0.9724257534636906,5.1047904380883625e-05,5,0.027574246536309355,7.0,1e-08,2.0
t_cultivation,36,"(6, 6)",col_based,5,N/A,N/A,N/A,N/A,0.9724257534636906,5.1047904380883625e-05,5,0.027574246536309355,7.0,1e-08,2.0
t_cultivation,36,"(6, 6)",col_based,2,N/A,N/A,N/A,N/A,0.9924335449320583,,1,0.007566455067941735,9.0,1e-08,2.0
t_cultivation,36,"(6, 6)",col_based,3,N/A,N/A,N/A,N/A,0.9924335449320583,,1,0.007566455067941735,9.0,1e-08,2.0
t_cultivation,36,"(6, 6)",col_based,4,N/A,N/A,N/A,N/A,0.9924335449320583,,1,0.007566455067941735,9.0,1e-08,2.0
t_cultivation,36,"(6, 6)",col_based,5,N/A,N/A,N/A,N/A,0.9924335449320583,,1,0.007566455067941735,9.0,1e-08,2.0
t_cultivation,36,"(6, 6)",col_based,2,N/A,N/A,N/A,N/A,0.9999098307168186,4.849911768700514e-08,5,9.016928318139605e-05,13.0,1e-08,4.0
t_cultivation,36,"(6, 6)",col_based,3,N/A,N/A,N/A,N/A,0.9999098307168186,4.849911768700514e-08,5,9.016928318139605e-05,13.0,1e-08,4.0
t_cultivation,36,"(6, 6)",col_based,4,N/A,N/A,N/A,N/A,0.9999098307168186,4.849911768700514e-08,5,9.016928318139605e-05,13.0,1e-08,4.0
t_cultivation,36,"(6, 6)",col_based,5,N/A,N/A,N/A,N/A,0.9999098307168186,4.849911768700514e-08,5,9.016928318139605e-05,13.0,1e-08,4.0
t_cultivation,36,"(6, 6)",col_based,2,N/A,N/A,N/A,N/A,0.9999807587879752,4.201623013337838e-08,5,1.924121202478979e-05,13.0,1e-10,4.0
t_cultivation,36,"(6, 6)",col_based,3,N/A,N/A,N/A,N/A,0.9999807587879752,4.201623013337838e-08,5,1.924121202478979e-05,13.0,1e-10,4.0
