trial,code_distance,fidelity_target,factory_physical_size,qubit_layout,placement,n_qubits,n_factories,n_aods,J,h,dt,n_trotter_steps,fidelity_total,fidelity_of_rz_teleportaion,fidelity_of_rz_s,fidelity_of_rz_h,fidelity_of_t_gate,fidelity_cnot,fidelity_h
4,7,1e-08,2,"(8, 8)",col_based,64,64,2,1.0,1.0,0.00146,1,0.9516986232315837,0.9625126622601202,0.9906069460507338,0.9998532107452333,0.9998726481086642,0.9984651767437963,0.9999488013004567
0,7,1e-08,2,"(8, 8)",col_based,64,64,3,1.0,1.0,0.00146,1,0.9515624638342501,0.9625126622601202,0.9904652200447522,0.9998532107452333,0.9998726481086642,0.9984651767437963,0.9999488013004567
1,7,1e-08,2,"(8, 8)",col_based,64,64,3,1.0,1.0,0.00146,1,0.9515749674563014,0.9625126622601202,0.9904782348527518,0.9998532107452333,0.9998726481086642,0.9984651767437963,0.9999488013004567
2,7,1e-08,2,"(8, 8)",col_based,64,64,3,1.0,1.0,0.00146,1,0.9516305410977045,0.9625126622601202,0.9905360805129716,0.9998532107452333,0.9998726481086642,0.9984651767437963,0.9999488013004567
3,7,1e-08,2,"(8, 8)",col_based,64,64,3,1.0,1.0,0.00146,1,0.9517625415041322,0.9625126622601202,0.9906734774958997,0.9998532107452333,0.9998726481086642,0.9984651767437963,0.9999488013004567
4,7,1e-08,2,"(8, 8)",col_based,64,64,3,1.0,1.0,0.00146,1,0.9516986232315837,0.9625126622601202,0.9906069460507338,0.9998532107452333,0.9998726481086642,0.9984651767437963,0.9999488013004567
0,7,1e-08,2,"(8, 8)",col_based,64,64,4,1.0,1.0,0.00146,1,0.9515624638342501,0.9625126622601202,0.9904652200447522,0.9998532107452333,0.9998726481086642,0.9984651767437963,0.9999488013004567
1,7,1e-08,2,"(8, 8)",col_based,64,64,4,1.0,1.0,0.00146,1,0.9515749674563014,0.9625126622601202,0.9904782348527518,0.9998532107452333,0.9998726481086642,0.9984651767437963,0.9999488013004567
2,7,1e-08,2,"(8, 8)",col_based,64,64,4,1.0,1.0,0.00146,1,0.9516305410977045,0.9625126622601202,0.9905360805129716,0.9998532107452333,0.9998726481086642,0.9984651767437963,0.9999488013004567
3,7,1e-08,2,"(8, 8)",col_based,64,64,4,1.0,1.0,0.00146,1,0.9517625415041322,0.9625126622601202,0.9906734774958997,0.9998532107452333,0.9998726481086642,0.9984651767437963,0.9999488013004567
4,7,1e-08,2,"(8, 8)",col_based,64,64,4,1.0,1.0,0.00146,1,0.9516986232315837,0.9625126622601202,0.9906069460507338,0.9998532107452333,0.9998726481086642,0.9984651767437963,0.9999488013004567
0,7,1e-08,2,"(8, 8)",col_based,64,64,5,1.0,1.0,0.00146,1,0.9515624638342501,0.9625126622601202,0.9904652200447522,0.9998532107452333,0.9998726481086642,0.9984651767437963,0.9999488013004567
