trial,code_distance,qubit_layout,n_trotter_steps,placement,n_aods,tmr_assignment_method,consider_skip_rus,trivial_return,decompose_move,parallel_execution,fidelity,fidelity_of_rz_layer,fidelity_of_rz_injection,fidelity_of_rz_teleportaion,fidelity_of_rz_s,fidelity_cnot,fidelity_1q,n_cnot,n_h
4,7,"(4, 4)",1,col_based,1,matching,2,False,True,False,0.9991045288615424,0.9995010527818927,0.9999269315749354,0.9995740900863908,1,0.9996160731427869,0.9999872000793593,128,32
0,7,"(4, 4)",1,col_based,1,matching,0,False,False,True,0.9990810568636981,0.999477571468498,0.9999724360775545,0.9995051217501578,1,0.9996160731427869,0.9999872000793593,128,32
1,7,"(4, 4)",1,col_based,1,matching,0,False,False,True,0.9990825767229667,0.9994790919309674,0.9999559578966052,0.9995231130312571,1,0.9996160731427869,0.9999872000793593,128,32
2,7,"(4, 4)",1,col_based,1,matching,0,False,False,True,0.9991240944558695,0.9995206261413995,0.9999705123147865,0.99955010056012,1,0.9996160731427869,0.9999872000793593,128,32
3,7,"(4, 4)",1,col_based,1,matching,0,False,False,True,0.9990585320242151,0.9994550376893722,0.9999318921783825,0.9995231130312571,1,0.9996160731427869,0.9999872000793593,128,32
4,7,"(4, 4)",1,col_based,1,matching,0,False,False,True,0.9987628790489397,0.9991592673755466,0.9996449775260593,0.999514117350227,1,0.9996160731427869,0.9999872000793593,128,32
0,7,"(4, 4)",1,col_based,1,matching,2,False,False,True,0.9989369430849233,0.9993334004939455,0.9998821859818237,0.9994511498498803,1,0.9996160731427869,0.9999872000793593,128,32
1,7,"(4, 4)",1,col_based,1,matching,2,False,False,True,0.9991116994703872,0.999508226236604,0.9999701064160483,0.999538106012889,1,0.9996160731427869,0.9999872000793593,128,32
2,7,"(4, 4)",1,col_based,1,matching,2,False,False,True,0.9991240944558695,0.9995206261413995,0.9999705123147865,0.99955010056012,1,0.9996160731427869,0.9999872000793593,128,32
3,7,"(4, 4)",1,col_based,1,matching,2,False,False,True,0.9990222520474248,0.9994187433138095,0.9999195783041478,0.999499124728423,1,0.9996160731427869,0.9999872000793593,128,32
