trial,code_distance,fidelity_target,factory_physical_size,qubit_layout,placement,n_qubits,n_factories,n_aods,trivial_return,decompose_move,redistribute_stage1_success,J,h,dt,n_trotter_steps,epsilon,total_depth,n_cnot,n_cnot_teleportation,n_h,n_s,n_t,n_se_q,n_rz_decomposition,fidelity_total,fidelity_of_rz_teleportaion,fidelity_of_rz_s,fidelity_of_rz_h,fidelity_of_t_gate,fidelity_cnot,fidelity_h,fidelity_idle,fidelity_synthesis,synthesis_epsilon
8,9,1e-08,2,"(6, 6)",col_based,36,36,5,True,False,False,1.0,1.0,0.00146,1,0.0001,10598.0,144,5688,5904,2971,5688,31341,144,0.9971986264370416,0.9984624692945755,0.9996089362280055,0.9997870698856356,0.9999431216170663,0.999961045975975,0.9997870698856356,0.9994349367016581,0.9999985600010224,0.0001
9,9,1e-08,2,"(6, 6)",col_based,36,36,5,True,False,False,1.0,1.0,0.00146,1,0.0001,10291.5,144,5688,5904,2995,5688,30085,144,0.9972180638390976,0.9984624692945755,0.999605777803134,0.9997870698856356,0.9999431216170663,0.999961045975975,0.9997870698856356,0.9994575756405114,0.9999985600010224,0.0001
0,9,1e-08,2,"(6, 6)",col_based,36,36,5,False,True,False,1.0,1.0,0.00146,1,0.0001,10045.0,144,5688,5904,3010,5688,29609,144,0.9972246551610553,0.9984624692945755,0.9996038037926569,0.9997870698856356,0.9999431216170663,0.999961045975975,0.9997870698856356,0.9994661554997446,0.9999985600010224,0.0001
1,9,1e-08,2,"(6, 6)",col_based,36,36,5,False,True,False,1.0,1.0,0.00146,1,0.0001,10049.0,144,5688,5904,2977,5688,29757,144,0.9972263259289763,0.9984624692945755,0.9996081466208521,0.9997870698856356,0.9999431216170663,0.999961045975975,0.9997870698856356,0.9994634878045299,0.9999985600010224,0.0001
2,9,1e-08,2,"(6, 6)",col_based,36,36,5,False,True,False,1.0,1.0,0.00146,1,0.0001,10174.0,144,5688,5904,2970,5688,29968,144,0.9972234501960728,0.9984624692945755,0.9996090678292584,0.9997870698856356,0.9999431216170663,0.999961045975975,0.9997870698856356,0.9994596845486641,0.9999985600010224,0.0001
3,9,1e-08,2,"(6, 6)",col_based,36,36,5,False,True,False,1.0,1.0,0.00146,1,0.0001,10020.0,144,5688,5904,3014,5688,29626,144,0.9972238242743722,0.9984624692945755,0.9996032773905215,0.9997870698856356,0.9999431216170663,0.999961045975975,0.9997870698856356,0.9994658490749323,0.9999985600010224,0.0001
4,9,1e-08,2,"(6, 6)",col_based,36,36,5,False,True,False,1.0,1.0,0.00146,1,0.0001,10094.5,144,5688,5904,2938,5688,29790,144,0.9972308526626572,0.9984624692945755,0.9996132790784987,0.9997870698856356,0.9999431216170663,0.999961045975975,0.9997870698856356,0.9994628929815677,0.9999985600010224,0.0001
5,9,1e-08,2,"(6, 6)",col_based,36,36,5,False,True,False,1.0,1.0,0.00146,1,0.0001,10172.5,144,5688,5904,3022,5688,30126,144,0.9972137817509709,0.9984624692945755,0.9996022245870821,0.9997870698856356,0.9999431216170663,0.999961045975975,0.9997870698856356,0.9994568366224682,0.9999985600010224,0.0001
6,9,1e-08,2,"(6, 6)",col_based,36,36,5,False,True,False,1.0,1.0,0.00146,1,0.0001,10006.5,144,5688,5904,3001,5688,29507,144,0.997227671177586,0.9984624692945755,0.9996049881984753,0.9997870698856356,0.9999431216170663,0.999961045975975,0.9997870698856356,0.9994679940505914,0.9999985600010224,0.0001
7,9,1e-08,2,"(6, 6)",col_based,36,36,5,False,True,False,1.0,1.0,0.00146,1,0.0001,9944.0,144,5688,5904,2974,5688,29304,144,0.9972348668508061,0.9984624692945755,0.9996085414243508,0.9997870698856356,0.9999431216170663,0.999961045975975,0.9997870698856356,0.99947165313734,0.9999985600010224,0.0001
8,9,1e-08,2,"(6, 6)",col_based,36,36,5,False,True,False,1.0,1.0,0.00146,1,0.0001,10410.5,144,5688,5904,2971,5688,30870,144,0.9972070969830334,0.9984624692945755,0.9996089362280055,0.9997870698856356,0.9999431216170663,0.999961045975975,0.9997870698856356,0.9994434262436337,0.9999985600010224,0.0001
9,9,1e-08,2,"(6, 6)",col_based,36,36,5,False,True,False,1.0,1.0,0.00146,1,0.0001,10152.0,144,5688,5904,2995,5688,29877,144,0.9972218046113489,0.9984624692945755,0.999605777803134,0.9997870698856356,0.9999431216170663,0.999961045975975,0.9997870698856356,0.9994613248136369,0.9999985600010224,0.0001
0,9,1e-08,2,"(6, 6)",col_based,36,36,5,False,True,True,1.0,1.0,0.00146,1,0.0001,9279.5,144,5688,5904,2956,5688,26884,144,0.9972807542010649,0.9984624692945755,0.999610910248618,0.9997870698856356,0.9999431216170663,0.999961045975975,0.9997870698856356,0.9995152748091469,0.9999985600010224,0.0001
1,9,1e-08,2,"(6, 6)",col_based,36,36,5,False,True,True,1.0,1.0,0.00146,1,0.0001,9093.5,144,5688,5904,3012,5688,26472,144,0.997280811754518,0.9984624692945755,0.9996035405915545,0.9997870698856356,0.9999431216170663,0.999961045975975,0.9997870698856356,0.9995227014982973,0.9999985600010224,0.0001
