trial,code_distance,fidelity_target,factory_physical_size,qubit_layout,placement,n_qubits,n_factories,n_aods,trivial_return,decompose_move,redistribute_stage1_success,J,h,dt,n_trotter_steps,epsilon,total_depth,n_cnot,n_cnot_teleportation,n_h,n_s,n_t,n_se_q,n_rz_decomposition,fidelity_total,fidelity_of_rz_teleportaion,fidelity_of_rz_s,fidelity_of_rz_h,fidelity_of_t_gate,fidelity_cnot,fidelity_h,fidelity_idle,fidelity_synthesis,synthesis_epsilon
4,9,1e-08,2,"(4, 4)",col_based,16,16,4,False,True,True,1.0,1.0,0.00146,1,0.0001,11012.0,128,3184,3280,1707,3184,14558,80,0.998466989957135,0.9991390373114896,0.9997752940420429,0.9998816998940097,0.9999681605065682,0.9999653741259314,0.9998816998940097,0.9997374864734084,0.999999200000312,0.0001
0,9,1e-08,2,"(6, 6)",col_based,36,36,2,False,True,True,1.0,1.0,0.00146,1,0.0001,13563.0,288,7164,7380,3747,7164,40307,180,0.9964306202635757,0.998063876268357,0.9995068188788596,0.9997338444416769,0.9999283625653654,0.9999220934693659,0.9997338444416769,0.9992733427389966,0.999998200001602,0.0001
1,9,1e-08,2,"(6, 6)",col_based,36,36,2,False,True,True,1.0,1.0,0.00146,1,0.0001,13656.0,288,7164,7380,3786,7164,40695,180,0.9964185317514681,0.998063876268357,0.9995016869678268,0.9997338444416769,0.9999283625653654,0.9999220934693659,0.9997338444416769,0.9992663504158666,0.999998200001602,0.0001
2,9,1e-08,2,"(6, 6)",col_based,36,36,2,False,True,True,1.0,1.0,0.00146,1,0.0001,13475.0,288,7164,7380,3736,7164,40211,180,0.9964337884232372,0.998063876268357,0.9995082663457099,0.9997338444416769,0.9999283625653654,0.9999220934693659,0.9997338444416769,0.9992750728058785,0.999998200001602,0.0001
3,9,1e-08,2,"(6, 6)",col_based,36,36,2,False,True,True,1.0,1.0,0.00146,1,0.0001,13366.0,288,7164,7380,3769,7164,39777,180,0.9964372584947719,0.998063876268357,0.9995039239514477,0.9997338444416769,0.9999283625653654,0.9999220934693659,0.9997338444416769,0.9992828941872861,0.999998200001602,0.0001
4,9,1e-08,2,"(6, 6)",col_based,36,36,2,False,True,True,1.0,1.0,0.00146,1,0.0001,13784.5,288,7164,7380,3690,7164,41061,180,0.9964245481360235,0.998063876268357,0.9995143194116135,0.9997338444416769,0.9999283625653654,0.9999220934693659,0.9997338444416769,0.9992597546095121,0.999998200001602,0.0001
0,9,1e-08,2,"(6, 6)",col_based,36,36,3,False,True,True,1.0,1.0,0.00146,1,0.0001,12574.5,288,7164,7380,3747,7164,37619,180,0.9964789254583493,0.998063876268357,0.9995068188788596,0.9997338444416769,0.9999283625653654,0.9999220934693659,0.9997338444416769,0.9993217857439297,0.999998200001602,0.0001
1,9,1e-08,2,"(6, 6)",col_based,36,36,3,False,True,True,1.0,1.0,0.00146,1,0.0001,12638.0,288,7164,7380,3786,7164,37973,180,0.9964674473710041,0.998063876268357,0.9995016869678268,0.9997338444416769,0.9999283625653654,0.9999220934693659,0.9997338444416769,0.9993154058389188,0.999998200001602,0.0001
2,9,1e-08,2,"(6, 6)",col_based,36,36,3,False,True,True,1.0,1.0,0.00146,1,0.0001,12513.0,288,7164,7380,3736,7164,37697,180,0.9964789667920003,0.998063876268357,0.9995082663457099,0.9997338444416769,0.9999283625653654,0.9999220934693659,0.9997338444416769,0.999320379998649,0.999998200001602,0.0001
3,9,1e-08,2,"(6, 6)",col_based,36,36,3,False,True,True,1.0,1.0,0.00146,1,0.0001,12415.5,288,7164,7380,3769,7164,37281,180,0.9964821135396541,0.998063876268357,0.9995039239514477,0.9997338444416769,0.9999283625653654,0.9999220934693659,0.9997338444416769,0.9993278773296632,0.999998200001602,0.0001
