trial,code_distance,qubit_layout,n_trotter_steps,placement,n_aods,consider_skip_rus,trivial_return,decompose_move,parallel_execution,prepare_lookahead_angles,logical_se_interval,total_depth,fidelity,fidelity_of_rz_layer,fidelity_of_rz_injection,fidelity_of_rz_teleportaion,fidelity_of_rz_s,fidelity_cnot,fidelity_1q,fidelity_idle,n_cnot,n_cnot_teleportation,n_h,n_s,n_se_q,n_rz_seen
0,7,"(4, 4)",1,seperate_region_row,2,0,False,True,False,False,10,340.5,0.9992271394605825,0.9995303512711153,0.9999262442656947,0.9996040778038884,1.0,0.9998080181428767,0.9999744003225566,0.999914203672133,64,132,64,0,429,27
1,7,"(4, 4)",1,seperate_region_row,2,0,False,True,False,False,10,313.5,0.9993201245316459,0.9996165671417098,0.9999764944287935,0.9996400642524209,1.0,0.9998080181428767,0.9999744003225566,0.9999210031125162,64,120,64,0,395,25
2,7,"(4, 4)",1,seperate_region_row,2,0,False,True,False,False,10,383.0,0.9992129718730476,0.9995311722411145,0.9999030675632696,0.9996280686256305,1.0,0.9998080181428767,0.9999744003225566,0.9998992050700675,64,124,64,0,504,29
3,7,"(4, 4)",1,seperate_region_row,2,0,False,True,False,False,10,287.0,0.999338494348456,0.9996257458077357,0.9999766765556509,0.99964906106698,1.0,0.9998080181428767,0.9999744003225566,0.9999302024289818,64,117,64,0,349,21
4,7,"(4, 4)",1,seperate_region_row,2,0,False,True,False,False,10,337.0,0.9993004829856946,0.9996019177667999,0.9999678395771889,0.9996340664210323,1.0,0.9998080181428767,0.9999744003225566,0.9999160035194995,64,122,64,0,420,25
5,7,"(4, 4)",1,seperate_region_row,2,0,False,True,False,False,10,324.0,0.9992717559954468,0.9995691838260446,0.9999350936536008,0.9996340664210323,1.0,0.9998080181428767,0.9999744003225566,0.999920003191913,64,122,64,0,400,26
6,7,"(4, 4)",1,seperate_region_row,2,0,False,True,False,False,10,327.0,0.9993140744804434,0.9996115149069094,0.9999714403748584,0.9996400642524209,1.0,0.9998080181428767,0.9999744003225566,0.999920003191913,64,120,64,0,400,27
7,7,"(4, 4)",1,seperate_region_row,2,0,False,True,False,False,10,378.5,0.9989269852352854,0.99924549422878,0.9996277393248142,0.9996190720000029,0.99999854,0.9998080181428767,0.9999744003225566,0.9998988051104254,64,127,64,1,506,33
8,7,"(4, 4)",1,seperate_region_row,2,0,False,True,False,False,10,393.0,0.9991502928939853,0.999469872558851,0.9998387455480129,0.999631067518833,1.0,0.9998080181428767,0.9999744003225566,0.9998978052120202,64,123,64,0,511,35
9,7,"(4, 4)",1,seperate_region_row,2,0,False,True,False,False,10,295.0,0.9993217053252933,0.9996111511010425,0.9999800762316842,0.999631067518833,1.0,0.9998080181428767,0.9999744003225566,0.9999280025847362,64,123,64,0,360,22
0,7,"(4, 4)",1,col_based,2,2,False,False,True,True,10,233.5,0.9993215999678298,0.9995866554986697,0.9999615713491811,0.9996250697414246,1.0,0.9998080181428767,0.9999744003225566,0.9999524011281009,64,125,64,0,238,19
1,7,"(4, 4)",1,col_based,2,2,False,False,True,True,10,258.5,0.999136782147192,0.9994105834331081,0.9998334241686689,0.9995770888176574,1.0,0.9998080181428767,0.9999744003225566,0.9999436015848088,64,141,64,0,282,20
2,7,"(4, 4)",1,col_based,2,2,False,False,True,True,10,240.0,0.9992853619378093,0.9995558054443543,0.9999307097239085,0.9996250697414246,1.0,0.9998080181428767,0.9999744003225566,0.9999470013991739,64,125,64,0,265,19
3,7,"(4, 4)",1,col_based,2,2,False,False,True,True,10,231.5,0.9993142523714152,0.9995803055333177,0.9999582188767985,0.9996220708662155,1.0,0.9998080181428767,0.9999744003225566,0.9999514011760997,64,126,64,0,243,18
4,7,"(4, 4)",1,col_based,2,2,False,False,True,True,10,182.5,0.9993003514814913,0.9995526070199457,0.9998735153911973,0.999679051033644,1.0,0.9998080181428767,0.9999744003225566,0.9999652006020321,64,107,64,0,174,16
5,7,"(4, 4)",1,col_based,2,2,False,False,True,True,10,205.5,0.9993346547982754,0.9995923167804664,0.9999732345847675,0.9996190720000029,1.0,0.9998080181428767,0.9999744003225566,0.9999598008039882,64,127,64,0,201,17
6,7,"(4, 4)",1,col_based,2,2,False,False,True,True,10,217.5,0.9992836430631881,0.999544890248331,0.9999587881246863,0.9995860850654341,1.0,0.9998080181428767,0.9999744003225566,0.999956200954825,64,138,64,0,219,18
7,7,"(4, 4)",1,col_based,2,2,False,False,True,True,10,219.0,0.9992644536362305,0.9995270951416896,0.9999289864115034,0.9995980801884181,1.0,0.9998080181428767,0.9999744003225566,0.9999548010169835,64,134,64,0,226,18
8,7,"(4, 4)",1,col_based,2,2,False,False,True,True,10,218.5,0.9990446696169071,0.9993030562734001,0.999662870676084,0.9996400642524209,1.0,0.9998080181428767,0.9999744003225566,0.9999590008363876,64,120,64,0,205,17
9,7,"(4, 4)",1,col_based,2,2,False,False,True,True,10,230.5,0.9990291062982976,0.9992990807328549,0.999652895759719,0.9996460621197968,1.0,0.9998080181428767,0.9999744003225566,0.9999474013780945,64,118,64,0,263,19
0,7,"(4, 4)",1,col_based,2,2,False,True,False,False,10,240.5,0.9992631122887083,0.9995303512711153,0.9999262442656947,0.9996040778038884,1.0,0.9998080181428767,0.9999744003225566,0.9999502012350182,64,132,64,0,249,27
1,7,"(4, 4)",1,col_based,2,2,False,True,False,False,10,216.5,0.9993555941484498,0.9996164602973822,0.9999763875459949,0.9996400642524209,1.0,0.9998080181428767,0.9999744003225566,0.9999566009374253,64,120,64,0,217,25
2,7,"(4, 4)",1,col_based,2,2,False,True,False,False,10,204.5,0.9993874236205689,0.9996436997060324,0.9999736370585078,0.9996700539491761,1.0,0.9998080181428767,0.9999744003225566,0.9999612007488293,64,110,64,0,194,23
3,7,"(4, 4)",1,col_based,2,2,False,True,False,False,10,221.5,0.9992748499861679,0.9995358949652785,0.9998987929014856,0.9996370653322282,1.0,0.9998080181428767,0.9999744003225566,0.9999564009461052,64,121,64,0,218,26
4,7,"(4, 4)",1,col_based,2,2,False,True,False,False,10,213.0,0.999356108862576,0.9996161754525263,0.9999701027509607,0.9996460621197968,1.0,0.9998080181428767,0.9999744003225566,0.999957400903106,64,118,64,0,213,24
5,7,"(4, 4)",1,col_based,2,2,False,True,False,False,10,226.0,0.9993073444678183,0.9995693975046035,0.9999353074103804,0.9996340664210323,1.0,0.9998080181428767,0.9999744003225566,0.9999554009901042,64,122,64,0,223,26
6,7,"(4, 4)",1,col_based,2,2,False,True,False,False,10,283.5,0.9992197097200888,0.9995001304110491,0.999881013085599,0.9996190720000029,1.0,0.9998080181428767,0.9999744003225566,0.9999370019781569,64,127,64,0,315,33
7,7,"(4, 4)",1,col_based,2,2,False,True,False,False,10,267.0,0.9989855916900651,0.9992601509519556,0.9996334049000563,0.9996280686256305,0.99999854,0.9998080181428767,0.9999744003225566,0.9999428016301675,64,124,64,1,286,31
8,7,"(4, 4)",1,col_based,2,2,False,True,False,False,10,271.0,0.9993191321594449,0.9995991809124937,0.9999531021937867,0.9996460621197968,1.0,0.9998080181428767,0.9999744003225566,0.9999374019530777,64,118,64,0,313,31
9,7,"(4, 4)",1,col_based,2,2,False,True,False,False,10,202.5,0.999355482973151,0.9996111511010425,0.9999800762316842,0.999631067518833,1.0,0.9998080181428767,0.9999744003225566,0.9999618007257898,64,123,64,0,191,22
0,7,"(4, 4)",1,col_based,2,2,False,True,False,True,10,218.0,0.9993083123213475,0.9995689662142653,0.999931876157533,0.9996370653322282,1.0,0.9998080181428767,0.9999744003225566,0.9999568009287855,64,121,64,0,216,17
1,7,"(4, 4)",1,col_based,2,2,False,True,False,True,10,249.0,0.9991416697035816,0.9994156722120073,0.9998355155850349,0.99958008755792,1.0,0.9998080181428767,0.9999744003225566,0.9999434015960885,64,140,64,0,283,20
2,7,"(4, 4)",1,col_based,2,2,False,True,False,True,10,193.5,0.999353025335571,0.9996084929129792,0.9999714172070645,0.9996370653322282,1.0,0.9998080181428767,0.9999744003225566,0.9999620007181899,64,121,64,0,190,16
3,7,"(4, 4)",1,col_based,2,2,False,True,False,True,10,201.5,0.9993675639655113,0.9996242348079544,0.9999751650254148,0.99964906106698,1.0,0.9998080181428767,0.9999744003225566,0.999960800764389,64,117,64,0,196,17
4,7,"(4, 4)",1,col_based,2,2,False,True,False,True,10,185.5,0.9994071984155674,0.9996600807215517,0.999987023510592,0.999673052968335,1.0,0.9998080181428767,0.9999744003225566,0.9999646006230317,64,109,64,0,177,15
5,7,"(4, 4)",1,col_based,2,2,False,True,False,True,10,226.5,0.9993294359258669,0.9995946934540195,0.9999576127379844,0.9996370653322282,1.0,0.9998080181428767,0.9999744003225566,0.9999522011376206,64,121,64,0,239,19
6,7,"(4, 4)",1,col_based,2,2,False,True,False,True,10,172.0,0.9993554186666385,0.9996030899205716,0.9999780119351561,0.9996250697414246,1.0,0.9998080181428767,0.9999744003225566,0.9999698004529947,64,125,64,0,151,15
7,7,"(4, 4)",1,col_based,2,2,False,True,False,True,10,232.0,0.999254372679992,0.9995234084658084,0.9999312978320659,0.9995920826089334,1.0,0.9998080181428767,0.9999744003225566,0.9999484013260959,64,136,64,0,258,19
8,7,"(4, 4)",1,col_based,2,2,False,True,False,True,10,213.5,0.9990452690439486,0.9993030562734001,0.999662870676084,0.9996400642524209,1.0,0.9998080181428767,0.9999744003225566,0.9999596008120281,64,120,64,0,202,17
9,7,"(4, 4)",1,col_based,2,2,False,True,False,True,10,224.0,0.9992947928910606,0.9995588417522715,0.9999217480196868,0.9996370653322282,1.0,0.9998080181428767,0.9999744003225566,0.999953401081102,64,121,64,0,233,18
0,7,"(4, 4)",1,seperate_region_row,3,0,True,False,False,False,10,328.0,0.9992343339226062,0.9995303512711153,0.9999262442656947,0.9996040778038884,1.0,0.9998080181428767,0.9999744003225566,0.9999214030810374,64,132,64,0,393,27
1,7,"(4, 4)",1,seperate_region_row,3,0,True,False,False,False,10,301.5,0.9993281191254202,0.9996165671417098,0.9999764944287935,0.9996400642524209,1.0,0.9998080181428767,0.9999744003225566,0.9999290025133388,64,120,64,0,355,25
2,7,"(4, 4)",1,seperate_region_row,3,0,True,False,False,False,10,367.0,0.9992209656095972,0.9995311722411145,0.9999030675632696,0.9996280686256305,1.0,0.9998080181428767,0.9999744003225566,0.999907204296505,64,124,64,0,464,29
3,7,"(4, 4)",1,seperate_region_row,3,0,True,False,False,False,10,272.5,0.9993420919738712,0.9996257458077357,0.9999766765556509,0.99964906106698,1.0,0.9998080181428767,0.9999744003225566,0.9999338021845502,64,117,64,0,331,21
